Date,Adj Close ^GSPC,Adj Close ^IXIC,Adj Close ^DJI,Adj Close ^RUT,Close ^GSPC,Close ^IXIC,Close ^DJI,Close ^RUT,High ^GSPC,High ^IXIC,High ^DJI,High ^RUT,Low ^GSPC,Low ^IXIC,Low ^DJI,Low ^RUT,Open ^GSPC,Open ^IXIC,Open ^DJI,Open ^RUT,Volume ^GSPC,Volume ^IXIC,Volume ^DJI,Volume ^RUT
2024-01-02 00:00:00,4742.830078125,14765.9404296875,37715.0390625,2012.800048828125,4742.830078125,14765.9404296875,37715.0390625,2012.800048828125,4754.330078125,14887.7998046875,37790.078125,2032.489990234375,4722.669921875,14682.3798828125,37495.91015625,2003.4100341796875,4745.2001953125,14873.7001953125,37566.21875,2012.75,3743050000,5791170000,350280000,3743050000
2024-01-03 00:00:00,4704.81005859375,14592.2099609375,37430.19140625,1959.199951171875,4704.81005859375,14592.2099609375,37430.19140625,1959.199951171875,4729.2900390625,14694.580078125,37629.23046875,1995.1700439453125,4699.7099609375,14577.4404296875,37401.8515625,1958.030029296875,4725.06982421875,14641.4697265625,37629.23046875,1995.1700439453125,3950760000,5449950000,322010000,3950760000
2024-01-04 00:00:00,4688.68017578125,14510.2998046875,37440.33984375,1957.72998046875,4688.68017578125,14510.2998046875,37440.33984375,1957.72998046875,4726.77978515625,14632.76953125,37716.41015625,1970.5400390625,4687.52978515625,14504.7802734375,37425.28125,1956.699951171875,4697.419921875,14532.23046875,37425.28125,1964.3499755859375,3715480000,5289220000,380220000,3715480000
2024-01-05 00:00:00,4697.240234375,14524.0703125,37466.109375,1951.1400146484375,4697.240234375,14524.0703125,37466.109375,1951.1400146484375,4721.490234375,14625.1904296875,37623.62109375,1967.989990234375,4682.10986328125,14477.5703125,37323.8203125,1941.77001953125,4690.56982421875,14500.1103515625,37455.4609375,1943.5,3844370000,5232820000,299480000,3844370000
2024-01-08 00:00:00,4763.5400390625,14843.76953125,37683.01171875,1989.010009765625,4763.5400390625,14843.76953125,37683.01171875,1989.010009765625,4764.5400390625,14846.900390625,37692.921875,1989.010009765625,4699.81982421875,14560.2001953125,37249.23828125,1944.8599853515625,4703.7001953125,14564.4697265625,37327.37109375,1948.9000244140625,3742320000,6337770000,362200000,3742320000
2024-01-09 00:00:00,4756.5,14857.7099609375,37525.16015625,1968.0400390625,4756.5,14857.7099609375,37525.16015625,1968.0400390625,4765.47021484375,14894.3203125,37552.37890625,1975.22998046875,4730.35009765625,14716.7099609375,37373.30078125,1957.4200439453125,4741.93017578125,14744.1298828125,37523.55078125,1964.719970703125,3529960000,5068410000,289860000,3529960000
2024-01-10 00:00:00,4783.4501953125,14969.650390625,37695.73046875,1970.260009765625,4783.4501953125,14969.650390625,37695.73046875,1970.260009765625,4790.7998046875,14998.2001953125,37740.76953125,1971.25,4756.2001953125,14842.7001953125,37524.3984375,1953.0,4759.93994140625,14877.7001953125,37552.91015625,1965.469970703125,3498680000,4404590000,279540000,3498680000
2024-01-11 00:00:00,4780.240234375,14970.1904296875,37711.01953125,1955.4599609375,4780.240234375,14970.1904296875,37711.01953125,1955.4599609375,4798.5,15063.6103515625,37801.8984375,1964.22998046875,4739.580078125,14800.3798828125,37424.28125,1934.3199462890625,4792.1298828125,15020.9501953125,37747.140625,1963.1099853515625,3759890000,5044690000,299540000,3759890000
2024-01-12 00:00:00,4783.830078125,14972.759765625,37592.98046875,1950.9599609375,4783.830078125,14972.759765625,37592.98046875,1950.9599609375,4802.39990234375,15047.25,37825.26953125,1983.81005859375,4768.97998046875,14931.8798828125,37470.19140625,1947.5,4791.18017578125,15001.009765625,37818.05078125,1977.8800048828125,3486340000,4958940000,279250000,3486340000
2024-01-16 00:00:00,4765.97998046875,14944.349609375,37361.12109375,1927.300048828125,4765.97998046875,14944.349609375,37361.12109375,1927.300048828125,4782.33984375,15004.349609375,37543.1796875,1939.81005859375,4747.1201171875,14863.8095703125,37201.390625,1921.81005859375,4772.35009765625,14908.259765625,37493.5390625,1934.6400146484375,4260550000,6386180000,378280000,4260550000
