Datetime,Adj Close ^GSPC,Adj Close ^IXIC,Adj Close ^DJI,Adj Close ^RUT,Close ^GSPC,Close ^IXIC,Close ^DJI,Close ^RUT,High ^GSPC,High ^IXIC,High ^DJI,High ^RUT,Low ^GSPC,Low ^IXIC,Low ^DJI,Low ^RUT,Open ^GSPC,Open ^IXIC,Open ^DJI,Open ^RUT,Volume ^GSPC,Volume ^IXIC,Volume ^DJI,Volume ^RUT,Date
2024-09-23 13:30:00,5713.41015625,17970.744140625,42142.12890625,2236.955078125,5713.41015625,17970.744140625,42142.12890625,2236.955078125,5716.35986328125,18005.28515625,42190.05078125,2237.376953125,5707.85009765625,17951.125,42045.0,2230.9814453125,5711.89990234375,17997.0390625,42060.3984375,2230.9814453125,0.0,0.0,0.0,0.0,
2024-09-23 13:35:00,5710.330078125,17976.6796875,42070.16015625,2237.111328125,5710.330078125,17976.6796875,42070.16015625,2237.111328125,5713.60986328125,17989.365234375,42146.1484375,2238.407958984375,5709.490234375,17954.49609375,42044.25,2236.69580078125,5713.169921875,17964.734375,42141.76171875,2236.87255859375,42133665.0,117148289.0,10301433.0,0.0,
2024-09-23 13:40:00,5712.31005859375,17976.220703125,42095.62109375,2237.469970703125,5712.31005859375,17976.220703125,42095.62109375,2237.469970703125,5712.60986328125,17983.849609375,42114.94140625,2238.165771484375,5709.919921875,17963.060546875,42065.671875,2237.08251953125,5710.330078125,17981.638671875,42070.05078125,2237.08251953125,37026947.0,113867376.0,9021505.0,0.0,
2024-09-23 13:45:00,5713.89013671875,18003.30078125,42053.3203125,2232.4189453125,5713.89013671875,18003.30078125,42053.3203125,2232.4189453125,5713.89013671875,18003.30078125,42123.921875,2238.4111328125,5705.7998046875,17960.63671875,42035.5390625,2232.12060546875,5712.39013671875,17968.80859375,42096.390625,2237.45654296875,41346266.0,97271576.0,7580366.0,0.0,
2024-09-23 13:50:00,5712.25,17992.50390625,42048.78125,2232.88427734375,5712.25,17992.50390625,42048.78125,2232.88427734375,5715.68017578125,18009.212890625,42080.3203125,2233.050048828125,5709.89013671875,17982.78125,42037.73828125,2231.76123046875,5714.240234375,18009.212890625,42054.69140625,2232.467041015625,29578735.0,79419778.0,5931105.0,0.0,
2024-09-23 13:55:00,5710.9501953125,17981.626953125,42025.0703125,2234.052490234375,5710.9501953125,17981.626953125,42025.0703125,2234.052490234375,5714.56982421875,18001.484375,42072.55078125,2234.052490234375,5709.740234375,17981.626953125,42012.21875,2232.874755859375,5711.990234375,17994.19921875,42045.8515625,2232.874755859375,29133406.0,79018834.0,5459388.0,0.0,
2024-09-23 14:00:00,5715.89013671875,17992.193359375,42083.8984375,2235.885498046875,5715.89013671875,17992.193359375,42083.8984375,2235.885498046875,5717.759765625,18004.935546875,42084.76953125,2236.740478515625,5707.509765625,17967.021484375,42016.8515625,2234.192626953125,5709.77001953125,17980.544921875,42019.51171875,2234.192626953125,34736504.0,88102000.0,5472522.0,0.0,
2024-09-23 14:05:00,5716.509765625,17996.40234375,42084.69921875,2234.730224609375,5716.509765625,17996.40234375,42084.69921875,2234.730224609375,5720.02978515625,18009.4140625,42101.5,2235.890380859375,5714.56005859375,17989.18359375,42073.078125,2234.177734375,5716.0400390625,17993.87890625,42084.46875,2235.890380859375,28792686.0,80911000.0,6522536.0,0.0,
2024-09-23 14:10:00,5713.91015625,17975.103515625,42093.640625,2233.713134765625,5713.91015625,17975.103515625,42093.640625,2233.713134765625,5719.47021484375,18003.298828125,42123.55859375,2235.0732421875,5713.3798828125,17974.169921875,42076.5,2233.713134765625,5716.60986328125,17994.71875,42085.109375,2234.80908203125,30116403.0,71895000.0,4883317.0,0.0,
2024-09-23 14:15:00,5719.56005859375,17994.953125,42125.55078125,2234.4248046875,5719.56005859375,17994.953125,42125.55078125,2234.4248046875,5720.240234375,17998.333984375,42133.05859375,2234.986572265625,5711.68017578125,17967.767578125,42078.80078125,2232.914306640625,5713.830078125,17973.56640625,42093.3203125,2233.6650390625,27397444.0,66748000.0,4589041.0,0.0,
