Date,Adj Close ^DJI,Adj Close ^GSPC,Adj Close ^IXIC,Adj Close ^RUT,Close ^DJI,Close ^GSPC,Close ^IXIC,Close ^RUT,High ^DJI,High ^GSPC,High ^IXIC,High ^RUT,Low ^DJI,Low ^GSPC,Low ^IXIC,Low ^RUT,Open ^DJI,Open ^GSPC,Open ^IXIC,Open ^RUT,Volume ^DJI,Volume ^GSPC,Volume ^IXIC,Volume ^RUT
2000-03-14,9811.240234375,1359.1500244140625,4706.6298828125,572.989990234375,9811.240234375,1359.1500244140625,4706.6298828125,572.989990234375,10043.2998046875,1395.1500244140625,5013.490234375,600.530029296875,9811.240234375,1359.1500244140625,4706.60986328125,572.5599975585938,9957.669921875,1383.6199951171875,4997.31005859375,590.1400146484375,186080000,1094000000,1977820000,1094000000
2000-03-15,10131.41015625,1392.1400146484375,4582.6201171875,558.8699951171875,10131.41015625,1392.1400146484375,4582.6201171875,558.8699951171875,10180.2001953125,1397.989990234375,4758.43994140625,576.47998046875,9776.490234375,1356.989990234375,4553.919921875,556.4299926757812,9808.150390625,1359.1500244140625,4758.43994140625,572.989990234375,204920000,1302800000,1937800000,1302800000
2000-03-16,10630.599609375,1458.469970703125,4717.39013671875,574.239990234375,10630.599609375,1458.469970703125,4717.39013671875,574.239990234375,10632.4599609375,1458.469970703125,4717.759765625,574.239990234375,10138.33984375,1392.1500244140625,4455.10009765625,546.219970703125,10139.580078125,1392.1500244140625,4658.43994140625,558.8800048828125,253790000,1482300000,2041510000,1482300000
2000-03-17,10595.23046875,1464.469970703125,4798.1298828125,574.77001953125,10595.23046875,1464.469970703125,4798.1298828125,574.77001953125,10763.3798828125,1477.3299560546875,4805.93994140625,576.5800170898438,10567.3095703125,1453.3199462890625,4702.02978515625,567.3699951171875,10629.98046875,1458.469970703125,4702.02978515625,574.239990234375,247830000,1295100000,1691530000,1295100000
2000-03-20,10680.240234375,1456.6300048828125,4610.0,549.2000122070312,10680.240234375,1456.6300048828125,4610.0,549.2000122070312,10727.7099609375,1470.300048828125,4822.7001953125,574.7899780273438,10586.990234375,1448.489990234375,4610.0,548.8200073242188,10594.75,1464.469970703125,4812.14013671875,574.7899780273438,177730000,920800000,1539860000,920800000
2000-03-21,10907.33984375,1493.8699951171875,4711.68017578125,552.7899780273438,10907.33984375,1493.8699951171875,4711.68017578125,552.7899780273438,10907.33984375,1493.9200439453125,4712.240234375,552.7899780273438,10603.6103515625,1446.06005859375,4467.52978515625,530.8699951171875,10680.240234375,1456.6300048828125,4589.52001953125,549.2000122070312,211950000,1065900000,1753310000,1065900000
2000-03-22,10866.7001953125,1500.6400146484375,4864.75,571.1900024414062,10866.7001953125,1500.6400146484375,4864.75,571.1900024414062,10917.26953125,1505.0799560546875,4900.419921875,571.239990234375,10789.1298828125,1487.3299560546875,4736.89990234375,552.7899780273438,10916.9599609375,1493.8699951171875,4750.5400390625,552.7899780273438,195830000,1075000000,1769510000,1075000000
2000-03-23,11119.8603515625,1527.3499755859375,4940.60986328125,573.7899780273438,11119.8603515625,1527.3499755859375,4940.60986328125,573.7899780273438,11136.6103515625,1532.5,4975.66015625,577.9099731445312,10831.01953125,1492.3900146484375,4865.10009765625,571.1900024414062,10884.3798828125,1500.6400146484375,4874.169921875,571.1900024414062,224710000,1078300000,1714160000,1078300000
2000-03-24,11112.7197265625,1527.4599609375,4963.02978515625,574.010009765625,11112.7197265625,1527.4599609375,4963.02978515625,574.010009765625,11234.650390625,1552.8699951171875,5078.85986328125,583.27001953125,11045.08984375,1516.8299560546875,4902.830078125,571.2000122070312,11107.4501953125,1527.3499755859375,4986.5400390625,573.7899780273438,217140000,1052200000,1688970000,1052200000
2000-03-27,11025.849609375,1523.8599853515625,4958.56005859375,573.6500244140625,11025.849609375,1523.8599853515625,4958.56005859375,573.6500244140625,11170.8203125,1534.6300048828125,5022.22998046875,577.7999877929688,10982.73046875,1518.4599609375,4946.60986328125,572.6400146484375,11093.25,1527.4599609375,4994.419921875,574.010009765625,184880000,901000000,1380380000,901000000
2000-03-28,10936.1103515625,1507.72998046875,4833.89013671875,559.0399780273438,10936.1103515625,1507.72998046875,4833.89013671875,559.0399780273438,11094.33984375,1527.3599853515625,4952.93017578125,573.6500244140625,10932.7802734375,1507.0899658203125,4833.89013671875,559.0399780273438,11023.6796875,1523.8599853515625,4939.0498046875,573.6500244140625,177780000,959100000,1490090000,959100000
2000-03-29,11018.7197265625,1508.52001953125,4644.669921875,543.0,11018.7197265625,1508.52001953125,4644.669921875,543.0,11101.5498046875,1521.449951171875,4860.02001953125,561.77001953125,10910.75,1497.449951171875,4641.009765625,541.3599853515625,10939.0498046875,1507.72998046875,4860.02001953125,559.0399780273438,199370000,1061900000,1738270000,1061900000
2000-03-30,10980.25,1487.9200439453125,4457.89013671875,531.5700073242188,10980.25,1487.9200439453125,4457.89013671875,531.5700073242188,11144.0595703125,1517.3800048828125,4683.8798828125,545.8900146484375,10916.33984375,1474.6300048828125,4355.68994140625,524.27001953125,11008.169921875,1508.52001953125,4540.43994140625,543.0,214190000,1193400000,1925860000,1193400000
2000-03-31,10921.919921875,1498.5799560546875,4572.830078125,539.0900268554688,10921.919921875,1498.5799560546875,4572.830078125,539.0900268554688,11107.759765625,1519.81005859375,4606.47998046875,544.3200073242188,10921.919921875,1484.3800048828125,4381.3798828125,526.9299926757812,10993.2802734375,1487.9200439453125,4550.2099609375,531.5700073242188,179590000,1227400000,2118100000,1227400000
2000-04-03,11221.9296875,1505.969970703125,4223.68017578125,516.0399780273438,11221.9296875,1505.969970703125,4223.68017578125,516.0399780273438,11223.7900390625,1507.18994140625,4572.83984375,539.469970703125,10862.9697265625,1486.9599609375,4193.10009765625,515.5599975585938,10863.2802734375,1498.5799560546875,4494.89013671875,539.02001953125,279950000,1021700000,1739920000,1021700000
2000-04-04,11164.83984375,1494.72998046875,4148.89013671875,506.1199951171875,11164.83984375,1494.72998046875,4148.89013671875,506.1199951171875,11418.240234375,1526.449951171875,4283.4501953125,520.1300048828125,10717.7802734375,1416.4100341796875,3649.110107421875,464.0799865722656,11225.33984375,1505.97998046875,4283.4501953125,516.010009765625,319280000,1515460000,2889100000,1515460000
